City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Zhangye,CN,78.26,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
345,Ajaccio,FR,71.65,clear sky,42.0,8.9167,Sole E Monte
346,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Bandarbeyla,SO,75.6,broken clouds,9.4942,50.8122,JABIR HOTEL
353,Shache,CN,72.72,overcast clouds,38.4167,77.2406,Delong Hotel
355,Nova Russas,BR,74.97,overcast clouds,-4.7067,-40.5631,palace motel
358,Annau,TM,78.3,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
362,Lishu,CN,79.83,clear sky,43.3047,124.3278,Su Camp Business Hotel
363,Khash,IR,76.89,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
368,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
372,Payo,ID,74.48,overcast clouds,-3.7508,103.6372,Mess keban agung
375,Chazuta,PE,79.65,few clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
378,Baykit,RU,71.76,clear sky,61.67,96.37,
386,Kalmunai,LK,78.22,overcast clouds,7.4167,81.8167,VS Villa
388,Praia Da Vitoria,PT,71.85,clear sky,38.7333,-27.0667,Hotel Branco I
390,Batticaloa,LK,78.57,overcast clouds,7.7102,81.6924,Grand Star Guest House
392,Songjianghe,CN,75.36,overcast clouds,42.1859,127.479,Sijisheng Fashion Guest House
397,Imeni Poliny Osipenko,RU,70.03,overcast clouds,52.4201,136.4853,Yubileynaya
400,Puttur,IN,78.91,scattered clouds,12.7667,75.2167,Hotel Super Tower
403,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
408,Dewas,IN,71.78,overcast clouds,22.9667,76.0667,OYO 71164 Hotel Suryaansh
410,Kabinda,CD,73.65,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
412,Barinas,VE,78.84,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
415,Santa Marta De Tormes,ES,72.99,clear sky,40.9506,-5.6272,Hotel Alameda Palace
416,Vostok,RU,74.97,overcast clouds,46.4856,135.8833,
420,Los Llanos De Aridane,ES,71.35,overcast clouds,28.6585,-17.9182,Valle Aridane
422,Eureka,US,72.19,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
424,Maragogi,BR,75.4,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
425,Betsiamites,CA,71.69,broken clouds,48.9413,-68.646,Pourvoirie du lac des îles
430,Pantai Remis,MY,77.02,overcast clouds,4.4557,100.6288,Leisure Homestay
432,Khuldabad,IN,70.72,broken clouds,20.05,75.1833,Capital O 29643 Etranger Resort
433,Eusebio,BR,78.94,few clouds,-3.89,-38.4506,CONDOMINIO GRAN CLASSIC
435,Tura,IN,74.16,light rain,25.5198,90.2201,Hotel RIKMAN Continental
442,Abrau-Dyurso,RU,72.86,clear sky,44.69,37.59,Avgustin Inn
443,Salina,US,78.94,overcast clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
444,Jega,NG,75.4,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
445,Tarancon,ES,72.93,clear sky,40.0085,-3.0073,Hostal La Estación
448,Tommot,RU,79.77,scattered clouds,58.9564,126.2925,Gostinitsa Tommot
449,Touros,BR,75.94,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
450,Constantine,DZ,74.61,clear sky,36.365,6.6147,Grand Hotel Cirta
452,Sao Francisco,BR,70.59,clear sky,-15.9486,-44.8644,Pousada Peixe Vivo
454,Luba,GQ,76.89,light rain,3.4568,8.5547,
455,Langarud,IR,76.59,overcast clouds,37.197,50.1535,ستاد اسکان فرهنگیان لنگرود
457,Shahe,CN,74.17,clear sky,39.2708,113.5478,五台山宾馆
459,Ciudad Guayana,VE,78.53,overcast clouds,8.3533,-62.6528,Hotel Las Americas
462,Chisinau,MD,71.92,clear sky,47.0056,28.8575,Cosmos Hotel
464,Cap Malheureux,MU,70.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
473,Munai,PH,78.04,overcast clouds,7.9758,124.0636,
