City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Porto Uniao,BR,-26.2381,-51.0783,44.6,80,6,0.87,clear sky
280,North Platte,US,41.1239,-100.7654,85.12,51,0,11.5,clear sky
281,Boende,CD,-0.2167,20.8667,72.05,86,94,0.74,overcast clouds
282,Felipe Carrillo Puerto,MX,19.5833,-88.05,77.22,85,100,2.86,overcast clouds
283,Kingaroy,AU,-26.5333,151.8333,58.55,66,100,10.98,overcast clouds
284,Lata,PT,40.1629,-8.3327,70.11,56,0,3.49,clear sky
285,Ust-Kulom,RU,61.6864,53.6902,61.92,70,98,1.54,overcast clouds
286,Nome,US,64.5011,-165.4064,63.16,51,0,11.5,clear sky
287,Benghazi,LY,32.1167,20.0667,80.42,77,0,13.24,clear sky
288,Rio Gallegos,AR,-51.6226,-69.2181,37.45,70,0,11.5,clear sky
289,Lebu,CL,-37.6167,-73.65,47.88,87,96,3.98,overcast clouds
290,Kaeo,NZ,-35.1,173.7833,59.32,70,49,12.86,scattered clouds
291,Vestmannaeyjar,IS,63.4427,-20.2734,50.0,76,10,14.52,clear sky
292,Anloga,GH,5.7947,0.8973,74.64,87,100,14.88,overcast clouds
293,Margate,GB,51.3813,1.3862,66.87,85,98,1.99,overcast clouds
294,Walvis Bay,NA,-22.9575,14.5053,53.1,93,1,6.91,clear sky
295,Pingliang,CN,35.5392,106.6861,73.58,75,18,3.58,few clouds
296,Asau,RO,46.4333,26.4,63.52,91,100,4.54,overcast clouds
297,Viedma,AR,-40.8135,-62.9967,45.39,64,100,5.61,overcast clouds
298,Burns Lake,CA,54.2331,-125.7533,85.42,26,35,5.77,scattered clouds
299,Thalheim,DE,50.7,12.85,56.05,91,13,4.23,few clouds
300,Omboue,GA,-1.5746,9.2618,72.05,89,46,4.94,scattered clouds
301,Toropets,RU,56.4978,31.6353,48.69,87,1,2.59,clear sky
302,Paramonga,PE,-10.6667,-77.8333,62.26,84,12,9.1,few clouds
303,Paita,PE,-5.0892,-81.1144,63.81,85,0,14.74,clear sky
304,Druzhba,UA,52.0428,33.9453,57.58,74,99,5.82,overcast clouds
305,Micoud,LC,13.8167,-60.9,82.4,81,40,19.57,scattered clouds
306,Sola,VU,-13.8833,167.55,83.07,84,100,0.0,overcast clouds
307,Cabatuan,PH,10.8794,122.486,83.43,75,98,6.13,overcast clouds
308,Balykshi,KZ,47.0667,51.8667,68.0,49,0,6.71,clear sky
309,Jardim,BR,-21.4803,-56.1381,62.46,51,0,2.77,clear sky
310,Necochea,AR,-38.5473,-58.7368,51.26,73,100,8.08,overcast clouds
311,Bolobo,CD,-2.1667,16.2333,77.22,52,4,3.78,clear sky
312,Graham,US,47.0529,-122.2943,97.83,34,0,5.99,clear sky
313,Along,IN,28.1667,94.7667,76.42,97,96,0.51,overcast clouds
314,Sinnamary,GF,5.3833,-52.95,78.06,85,84,8.1,broken clouds
315,Port Hardy,CA,50.6996,-127.4199,77.18,61,20,14.97,few clouds
316,Malandag,PH,6.3094,125.2428,76.44,96,100,0.6,overcast clouds
317,Kloulklubed,PW,7.0419,134.2556,82.9,75,100,10.07,overcast clouds
318,Katyuzhanka,UA,50.806,30.1376,66.58,56,100,9.19,overcast clouds
319,Fortuna,US,40.5982,-124.1573,71.92,75,20,12.66,few clouds
320,Wonthaggi,AU,-38.6044,145.5913,53.82,54,100,17.16,overcast clouds
321,Tuy Hoa,VN,13.0833,109.3,84.4,70,100,8.61,overcast clouds
322,Asosa,ET,10.0667,34.5333,58.41,97,93,1.21,overcast clouds
323,Verkhnevilyuysk,RU,63.4453,120.3167,72.93,67,7,3.76,clear sky
324,Ostrovnoy,RU,68.0531,39.5131,55.42,94,33,5.32,scattered clouds
325,Manta,EC,-0.95,-80.7333,74.98,83,100,8.05,overcast clouds
326,Mitu,CO,1.1983,-70.1733,71.06,99,95,2.44,overcast clouds
327,Oberndorf,DE,48.2905,8.5722,64.65,70,98,1.9,overcast clouds
328,Nador,MA,35.174,-2.9287,80.85,89,100,4.61,overcast clouds
329,Itoman,JP,26.1247,127.6694,82.78,91,75,4.61,broken clouds
330,Buchanan,LR,5.8808,-10.0467,74.35,79,11,5.7,few clouds
331,Sulangan,PH,11.1373,123.7228,83.44,73,100,8.08,overcast clouds
332,Chirilagua,SV,13.2203,-88.1386,87.49,80,100,3.15,light rain
333,Port Lincoln,AU,-34.7333,135.8667,55.6,71,58,22.62,broken clouds
334,Garmsar,IR,35.2182,52.3409,84.18,26,18,7.47,few clouds
335,Carutapera,BR,-1.195,-46.02,76.64,89,41,6.08,scattered clouds
336,Can,TR,40.0333,27.0524,66.09,94,0,2.3,clear sky
337,Marhaura,IN,25.9667,84.8667,78.73,71,100,3.85,light rain
338,Verin,ES,41.9415,-7.4381,69.57,64,0,2.64,clear sky
339,Port-Gentil,GA,-0.7193,8.7815,73.85,83,24,8.48,few clouds
340,Zhangye,CN,38.9342,100.4517,78.26,36,89,3.44,overcast clouds
341,Anito,PH,12.4497,125.2886,83.89,73,100,6.51,overcast clouds
342,Ongandjera,NA,-17.8833,15.0667,55.38,37,7,9.37,clear sky
343,Beringovskiy,RU,63.05,179.3167,51.91,67,100,5.95,overcast clouds
344,Outjo,NA,-20.1167,16.15,51.19,38,9,7.18,clear sky
345,Ajaccio,FR,42.0,8.9167,71.65,88,0,5.75,clear sky
346,Ambon,ID,-3.6954,128.1814,78.94,94,40,3.44,light rain
347,Laguna,US,38.421,-121.4238,97.92,45,0,11.5,clear sky
348,Oranjemund,NA,-28.55,16.4333,50.88,80,14,13.31,few clouds
